Sat Mar  7 22:29:34 2020 | mirko: ee
Sat Mar  7 22:29:39 2020 | mirko: radi?
Sat Mar  7 22:29:43 2020 | mirko: raadi druze
Sat Mar  7 22:38:11 2020 | mirko: ee
Sat Mar  7 22:38:17 2020 | mirko: eej
Sat Mar  7 22:40:32 2020 | mirko: eee
Sat Mar  7 22:59:47 2020 | mirko: eeee
Sat Mar  7 22:59:51 2020 | mirko: aa raaaddi!
Sat Mar  7 23:30:41 2020 | mirko: eee
Sat Mar  7 23:30:44 2020 | mirko: kako si
Sat Mar  7 23:31:50 2020 | mirko: ee
Sat Mar  7 23:31:54 2020 | mirko: kako si covece
Sun Mar  8 11:23:43 2020 | mirko: eee
Sun Mar  8 11:23:50 2020 | mirko: eeee
Sun Mar  8 11:23:55 2020 | mirko: joud
Sun Mar  8 11:31:59 2020 | mirko: eee
Sun Mar  8 11:32:04 2020 | mirko: jo maj men
Sun Mar  8 11:32:10 2020 | mirko: wassu[ brpo
Sun Mar  8 11:35:54 2020 | mirko: eee :)
Sun Mar  8 11:35:59 2020 | mirko: jou maj men
Sun Mar  8 11:36:09 2020 | mirko: hejhejildm
Sun Mar  8 11:36:34 2020 | vnvnunmdq`ch---	
Sun Mar  8 11:36:51 2020 | mirko: jou maj memn ovo ne radi
Sun Mar  8 12:27:10 2020 | mirko: ee
Sun Mar  8 12:27:11 2020 | mirko: ee
Sun Mar  8 12:27:12 2020 | mirko: e?
Sun Mar  8 12:27:15 2020 | mirko: eeee
Sun Mar  8 12:28:27 2020 | mirko: eeee
Sun Mar  8 12:28:30 2020 | mirko: djes
Sun Mar  8 12:28:33 2020 | mirko: eeeee
Sun Mar  8 12:28:36 2020 | mirko: edddd
Sun Mar  8 12:28:36 2020 | mirko: ecccc
Sun Mar  8 12:28:36 2020 | mirko: ebbbb
Sun Mar  8 12:28:36 2020 | mirko: eaaaa
Sun Mar  8 12:28:36 2020 | mirko: e````
Sun Mar  8 12:28:36 2020 | mirko: ee___
Sun Mar  8 12:28:37 2020 | mirko: ed^^^
Sun Mar  8 12:28:37 2020 | mirko: ec]]]
Sun Mar  8 12:28:37 2020 | mirko: eb\\\
Sun Mar  8 12:28:37 2020 | mirko: ea[[[
Sun Mar  8 12:28:40 2020 | mirko: hahaZ
Sun Mar  8 12:33:12 2020 | mirko: /show
Sun Mar  8 12:35:30 2020 | mirko: hejnv
Sun Mar  8 12:35:33 2020 | mirko: eeemu
Sun Mar  8 12:36:57 2020 | mirko: hejlt
Sun Mar  8 12:36:59 2020 | mirko: ejejeje
Sun Mar  8 12:37:44 2020 | mirko: eeeidid
Sun Mar  8 12:37:58 2020 | mirko: jodhchc
Sun Mar  8 12:38:03 2020 | mirko: jesi tu?
Sun Mar  8 12:38:07 2020 | mirko: /hidewt>
Sun Mar  8 12:45:12 2020 | gll	
Sun Mar  8 12:48:40 2020 | mirko: 
Sun Mar  8 12:48:42 2020 | mirko: ee
Sun Mar  8 12:48:52 2020 | dd	jn9dd
Sat Mar 14 14:13:41 2020 | C_SCAN
Sat Mar 14 14:13:47 2020 | mirko: hmm ne radi??
Sat Mar 14 14:13:52 2020 | C_SCAN
Sat Mar 14 14:13:58 2020 | C_SCAN
Sat Mar 14 14:44:11 2020 | mirko: eee
Sat Mar 14 14:44:14 2020 | mirko: jo
Sat Mar 14 14:44:17 2020 | mirko: maj
Sat Mar 14 14:44:20 2020 | mirko: niqqa
Sat Mar 14 14:44:24 2020 | C_SCAN
Sat Mar 14 14:48:24 2020 | mirko: eeeeee
Sat Mar 14 14:48:27 2020 | mirko: jou
Sat Mar 14 15:19:49 2020 | mirko: hmm
Sat Mar 14 15:19:52 2020 | mirko: lel rip
Sat Mar 14 15:25:26 2020 | mirko: eee
Sat Mar 14 15:25:28 2020 | mirko: jo
Sat Mar 14 15:25:36 2020 | mirko: hej
Sat Mar 14 15:25:42 2020 | mirko: hmm nema fajla?
Sat Mar 14 15:25:45 2020 | mirko: lel nema
Sat Mar 14 15:34:25 2020 | mirko: eee
Sat Mar 14 15:38:33 2020 | mirko: eeeeee
Sat Mar 14 16:05:52 2020 | mirko: eeeee
Sat Mar 14 16:05:55 2020 | mirko: lol hej
Sat Mar 14 16:19:42 2020 | mirko: eeee
